account_id,customer_id,credit_limit_usd,fico_score,apr_percent,risk_band
1,1,107437,748,14.81,Low
2,2,21537,619,20.99,High
3,3,15923,699,18.11,Medium
4,4,9536,740,15.51,Low
5,5,4617,644,23.17,High
6,6,13156,653,17.12,High
7,7,10569,527,21.21,VeryHigh
8,8,3353,673,19.42,Medium
9,9,20371,691,18.05,Medium
10,10,10697,622,21.34,High
11,11,4356,738,18.18,Medium
12,12,31412,704,18.92,Medium
13,13,9909,621,21.31,High
14,14,2659,558,22.87,VeryHigh
15,15,4356,629,22.37,High
16,16,33124,681,16.71,Medium
17,17,4934,686,13.95,Medium
18,18,116899,808,15.25,VeryLow
19,19,10950,625,18.93,High
20,20,11594,617,20.08,High
21,21,14732,645,20.53,High
22,22,14547,646,18.98,High
23,23,12835,628,16.93,High
24,24,20236,647,16.85,High
25,25,3782,668,16.22,High
26,26,19956,656,21.47,High
27,27,5399,673,19.07,Medium
28,28,42564,640,18.92,High
29,29,162513,794,15.11,Low
30,30,79110,710,19.1,Medium
31,31,19221,699,17.03,Medium
32,32,49061,748,13.85,Low
33,33,22319,780,14.91,Low
34,34,2145,561,24.01,VeryHigh
35,35,13077,643,21.97,High
36,36,3948,675,18.52,Medium
37,37,9921,594,23.18,High
38,38,10304,742,18.25,Low
39,39,30291,613,21.01,High
40,40,28953,613,19.5,High
41,41,17758,671,19.25,Medium
42,42,2129,610,19.77,High
43,43,9012,618,21.88,High
44,44,64212,658,17.62,High
45,45,18641,705,18.08,Medium
46,46,3732,670,17.07,Medium
47,47,12053,752,13.77,Low
48,48,3732,573,21.93,VeryHigh
49,49,4168,594,19.47,High
50,50,11910,725,13.43,Medium
51,51,8767,568,22.29,VeryHigh
52,52,15136,605,22.65,High
53,53,16594,591,19.84,High
54,54,37548,741,15.6,Low
55,55,10045,534,24.01,VeryHigh
56,56,11788,515,23.28,VeryHigh
57,57,13071,680,18.32,Medium
58,58,3796,559,22.76,VeryHigh
59,59,3006,561,21.23,VeryHigh
60,60,23562,675,19.71,Medium
61,61,27879,663,20.03,High
62,62,18126,703,15.87,Medium
63,63,10472,703,17.2,Medium
64,64,22223,746,18.57,Low
65,65,11706,545,24.41,VeryHigh
66,66,30025,757,14.59,Low
67,67,151033,781,13.41,Low
68,68,3360,588,20.48,High
69,69,24120,562,20.66,VeryHigh
70,70,10680,656,16.47,High
71,71,55684,757,16.52,Low
72,72,4245,646,20.71,High
73,73,9668,745,15.75,Low
74,74,11087,769,15.83,Low
75,75,29428,669,18.11,High
76,76,68483,751,17.28,Low
77,77,3000,529,23.16,VeryHigh
78,78,13210,629,20.83,High
79,79,14089,727,14.35,Medium
80,80,6519,533,23.23,VeryHigh
81,81,3568,733,16.38,Medium
82,82,8935,618,19.46,High
83,83,82666,718,17.54,Medium
84,84,27980,686,19.59,Medium
85,85,7151,659,20.29,High
86,86,5545,651,20.22,High
87,87,9925,709,17.27,Medium
88,88,5694,737,14.51,Medium
89,89,44562,725,15.79,Medium
90,90,63408,731,15.59,Medium
91,91,12181,731,14.29,Medium
92,92,41389,680,17.76,Medium
93,93,19438,658,18.56,High
94,94,12151,729,16.74,Medium
95,95,6642,748,16.55,Low
96,96,8376,615,20.14,High
97,97,12088,639,20.54,High
98,98,41320,684,19.13,Medium
99,99,27911,646,17.72,High
100,100,21665,666,17.53,High
101,101,11334,636,21.08,High
102,102,97970,697,16.72,Medium
103,103,6008,641,22.67,High
104,104,6893,618,23.64,High
105,105,22863,611,21.74,High
106,106,9061,648,21.65,High
107,107,4381,577,18.53,VeryHigh
108,108,6308,723,11.97,Medium
109,109,5268,533,23.32,VeryHigh
110,110,11996,663,18.21,High
111,111,35675,660,19.7,High
112,112,8428,595,21.75,High
113,113,3243,581,24.82,High
114,114,14885,654,18.03,High
115,115,30689,656,18.22,High
116,116,4673,610,18.92,High
117,117,2997,633,19.78,High
118,118,4375,715,19.83,Medium
119,119,37641,828,12.01,VeryLow
120,120,9690,633,19.05,High
121,121,52358,773,14.51,Low
122,122,3507,589,20.49,High
123,123,2777,638,19.05,High
124,124,12899,636,22.49,High
125,125,6144,574,22.19,VeryHigh
126,126,4003,668,19.86,High
127,127,5814,656,19.45,High
128,128,22639,646,19.37,High
129,129,39338,689,17.38,Medium
130,130,8958,618,20.57,High
131,131,7504,560,19.66,VeryHigh
132,132,3692,601,24.75,High
133,133,10889,734,15.47,Medium
134,134,35109,712,16.3,Medium
135,135,10281,598,21.97,High
136,136,3277,608,19.51,High
137,137,82220,644,20.36,High
138,138,46270,638,18.49,High
139,139,42312,720,15.73,Medium
140,140,13070,634,19.81,High
141,141,7209,631,20.93,High
142,142,5077,651,19.07,High
143,143,2443,631,17.97,High
144,144,11975,752,16.89,Low
145,145,15230,594,21.97,High
146,146,7000,739,15.78,Medium
147,147,44294,756,15.35,Low
148,148,9570,736,14.27,Medium
149,149,8244,699,15.64,Medium
150,150,8355,628,19.1,High
151,151,10106,610,22.68,High
152,152,13240,700,18.63,Medium
153,153,7648,664,18.65,High
154,154,14545,613,20.02,High
155,155,21498,647,19.7,High
156,156,25934,796,14.72,Low
157,157,12287,660,18.59,High
