customer_id,country,segment,product_tier,open_date,dob,digital_adoption_score,acquisition_channel
1,US,Corporate,Platinum,2020-03-08,1981-02-20,86,Online
2,US,Corporate,Gold,2019-05-12,2002-12-17,88,Partner
3,UK,Consumer,BusinessGold,2023-06-08,1994-08-23,98,Online
4,US,Consumer,CoBrand,2023-11-14,1979-09-22,78,Online
5,US,SMB,Blue,2023-01-26,2003-01-04,86,Online
6,AU,Consumer,Gold,2024-06-21,1983-11-24,87,Direct
7,US,SMB,Gold,2023-09-18,1986-05-28,71,Branch
8,CA,SMB,Blue,2020-09-08,1982-02-18,90,Online
9,US,Consumer,Platinum,2022-09-16,1974-04-19,95,Direct
10,US,Consumer,CoBrand,2025-05-01,1995-11-24,66,Partner
11,US,Consumer,Blue,2022-05-15,1969-08-10,80,Direct
12,FR,Corporate,Green,2016-09-01,1979-09-12,59,Direct
13,US,Consumer,CoBrand,2019-02-04,1994-12-18,73,Online
14,MX,Consumer,Blue,2022-06-14,1985-04-07,87,Online
15,US,Consumer,CoBrand,2024-11-06,1995-07-16,68,Referral
16,US,Consumer,Platinum,2022-08-01,1990-05-07,76,Referral
17,US,Consumer,Blue,2011-11-20,1995-01-19,60,Online
18,US,SMB,Platinum,2020-10-07,2001-04-27,72,Direct
19,MX,Consumer,Gold,2025-11-15,2001-04-07,100,Direct
20,US,Consumer,Green,2009-02-17,1971-07-28,62,Branch
21,US,Consumer,Gold,2021-02-11,1988-12-21,71,Online
22,US,Consumer,Gold,2023-09-17,1998-01-28,71,Online
23,AU,SMB,Gold,2006-06-02,1980-06-25,28,Partner
24,DE,Consumer,Gold,2021-08-13,1997-09-10,78,Direct
25,US,Consumer,Blue,2023-08-20,1996-06-11,62,Partner
26,US,Consumer,Gold,2022-05-23,1968-11-13,66,Online
27,US,SMB,Blue,2018-06-07,1965-11-17,46,Partner
28,US,Corporate,Gold,2022-06-05,1972-05-23,71,Branch
29,US,Corporate,BusinessPlatinum,2017-02-14,2006-04-14,66,Partner
30,US,Consumer,Centurion,2018-07-14,1993-08-12,63,Direct
31,US,Consumer,Platinum,2011-07-16,1984-03-13,63,Direct
32,IN,Consumer,Platinum,2017-01-07,1989-02-18,31,Partner
